model_name,noise_level,interpolator_method,estimator,variable_name,variable_type,true_value,estimated_value,rel_error,cluster_id,solution_in_cluster,overall_problem_error
lv_periodic,0.0,GPR,PE,x1(t),state,2.0,2.000053142847216,2.65714236080683e-5,1,1,0.19041500447516654
lv_periodic,0.0,GPR,PE,x2(t),state,0.5,0.49999598038268833,8.039234623336e-6,1,1,0.19041500447516654
lv_periodic,0.0,GPR,PE,a,parameter,1.5,1.499969322394218,2.045173718793573e-5,1,1,0.19041500447516654
lv_periodic,0.0,GPR,PE,b,parameter,0.9,0.8999935446485248,7.172612750282346e-6,1,1,0.19041500447516654
lv_periodic,0.0,GPR,PE,c,parameter,3.0,3.0001443900048166,4.8130001605528605e-5,1,1,0.19041500447516654
lv_periodic,0.0,GPR,PE,d,parameter,0.8,0.8000223814562548,2.7976820318464934e-5,1,1,0.19041500447516654
lv_periodic,0.0,GPR,PE,x1(t),state,2.0,1.999960718005376,1.96409973119982e-5,2,1,0.19041103647958701
lv_periodic,0.0,GPR,PE,x2(t),state,0.5,0.5000129598865467,2.5919773093407983e-5,2,1,0.19041103647958701
lv_periodic,0.0,GPR,PE,a,parameter,1.5,1.499996749805463,2.1667963580422147e-6,2,1,0.19041103647958701
lv_periodic,0.0,GPR,PE,b,parameter,0.9,0.9000022659061423,2.517673491415135e-6,2,1,0.19041103647958701
lv_periodic,0.0,GPR,PE,c,parameter,3.0,3.0000268631048734,8.954368291143785e-6,2,1,0.19041103647958701
lv_periodic,0.0,GPR,PE,d,parameter,0.8,0.8000220337244106,2.7542155513204936e-5,2,1,0.19041103647958701
lv_periodic,0.0,GPR,PE,x1(t),state,2.0,1.999805264466416,9.736776679203363e-5,3,1,0.19040965336744745
lv_periodic,0.0,GPR,PE,x2(t),state,0.5,0.5000968137554629,0.00019362751092577568,3,1,0.19040965336744745
lv_periodic,0.0,GPR,PE,a,parameter,1.5,1.5000770257907499,5.135052716657521e-5,3,1,0.19040965336744745
lv_periodic,0.0,GPR,PE,b,parameter,0.9,0.9000163069852556,1.811887250618365e-5,3,1,0.19040965336744745
lv_periodic,0.0,GPR,PE,c,parameter,3.0,2.9998969634313575,3.434552288084092e-5,3,1,0.19040965336744745
lv_periodic,0.0,GPR,PE,d,parameter,0.8,0.7999809172889634,2.3853388795846975e-5,3,1,0.19040965336744745
lv_periodic,0.0,GPR,PE,x1(t),state,2.0,2.000516456601415,0.00025822830070754144,4,1,0.19043846968926081
lv_periodic,0.0,GPR,PE,x2(t),state,0.5,0.499827700763437,0.0003445984731259566,4,1,0.19043846968926081
lv_periodic,0.0,GPR,PE,a,parameter,1.5,1.5000794094108596,5.293960723973257e-5,4,1,0.19043846968926081
lv_periodic,0.0,GPR,PE,b,parameter,0.9,0.9001763524008772,0.00019594711208579006,4,1,0.19043846968926081
lv_periodic,0.0,GPR,PE,c,parameter,3.0,2.999602332399257,0.0001325558669143708,4,1,0.19043846968926081
lv_periodic,0.0,GPR,PE,d,parameter,0.8,0.7998178593540886,0.00022767580738936033,4,1,0.19043846968926081
lv_periodic,0.0,GPR,PE,x1(t),state,2.0,2.00153344179958,0.0007667208997899078,5,1,0.19045689155914644
lv_periodic,0.0,GPR,PE,x2(t),state,0.5,0.49933599444268634,0.0013280111146273255,5,1,0.19045689155914644
lv_periodic,0.0,GPR,PE,a,parameter,1.5,1.4997525037873285,0.00016499747511433682,5,1,0.19045689155914644
lv_periodic,0.0,GPR,PE,b,parameter,0.9,0.8999492414164156,5.639842620487457e-5,5,1,0.19045689155914644
lv_periodic,0.0,GPR,PE,c,parameter,3.0,3.000085049275788,2.8349758595928403e-5,5,1,0.19045689155914644
lv_periodic,0.0,GPR,PE,d,parameter,0.8,0.8000197819387063,2.472742338277545e-5,5,1,0.19045689155914644
lv_periodic,0.0,GPR,PE,x1(t),state,2.0,1.9990003039678108,0.0004998480160945951,6,1,0.19037496759155817
lv_periodic,0.0,GPR,PE,x2(t),state,0.5,0.5003363518101575,0.0006727036203149073,6,1,0.19037496759155817
lv_periodic,0.0,GPR,PE,a,parameter,1.5,1.4998978542037569,6.809719749541661e-5,6,1,0.19037496759155817
lv_periodic,0.0,GPR,PE,b,parameter,0.9,0.8997481187113604,0.00027986809848846837,6,1,0.19037496759155817
lv_periodic,0.0,GPR,PE,c,parameter,3.0,3.0005387372758574,0.00017957909195246793,6,1,0.19037496759155817
lv_periodic,0.0,GPR,PE,d,parameter,0.8,0.8002234012093485,0.0002792515116856187,6,1,0.19037496759155817
lv_periodic,0.0,GPR,PE,x1(t),state,2.0,2.0067665323608255,0.003383266180412736,7,1,0.19060576927213482
lv_periodic,0.0,GPR,PE,x2(t),state,0.5,0.49730124025282285,0.005397519494354297,7,1,0.19060576927213482
lv_periodic,0.0,GPR,PE,a,parameter,1.5,1.4992532954679916,0.0004978030213389495,7,1,0.19060576927213482
lv_periodic,0.0,GPR,PE,b,parameter,0.9,0.8998417455592257,0.0001758382675270336,7,1,0.19060576927213482
lv_periodic,0.0,GPR,PE,c,parameter,3.0,3.0001662122004236,5.540406680785518e-5,7,1,0.19060576927213482
lv_periodic,0.0,GPR,PE,d,parameter,0.8,0.8000365703062206,4.571288277563368e-5,7,1,0.19060576927213482
lv_periodic,0.0,GPR,PE,x1(t),state,2.0,2.0007350899308713,0.0003675449654356733,8,1,0.1904397522198672
lv_periodic,0.0,GPR,PE,x2(t),state,0.5,0.4997516099373293,0.0004967801253413784,8,1,0.1904397522198672
lv_periodic,0.0,GPR,PE,a,parameter,1.5,1.5000271232529077,1.8082168605104698e-5,8,1,0.1904397522198672
lv_periodic,0.0,GPR,PE,b,parameter,0.9,0.9000740877235948,8.23196928830446e-5,8,1,0.1904397522198672
lv_periodic,0.0,GPR,PE,c,parameter,3.0,2.9997738658850497,7.537803831677199e-5,8,1,0.1904397522198672
lv_periodic,0.0,GPR,PE,d,parameter,0.8,0.7999162598283006,0.00010467521462428908,8,1,0.1904397522198672
lv_periodic,0.0,GPR,PE,x1(t),state,2.0,1.4568154426626656,0.2715922786686672,9,1,0.17534430578601223
lv_periodic,0.0,GPR,PE,x2(t),state,0.5,1.9568262992656915,2.913652598531383,9,1,0.17534430578601223
lv_periodic,0.0,GPR,PE,a,parameter,1.5,2.1966767567916077,0.4644511711944051,9,1,0.17534430578601223
lv_periodic,0.0,GPR,PE,b,parameter,0.9,1.0446308788315783,0.16070097647953147,9,1,0.17534430578601223
lv_periodic,0.0,GPR,PE,c,parameter,3.0,3.017305211483819,0.0057684038279396015,9,1,0.17534430578601223
lv_periodic,0.0,GPR,PE,d,parameter,0.8,0.8047268968615566,0.00590862107694573,9,1,0.17534430578601223
lv_periodic,0.01,GPR,PE,x1(t),state,2.0,2.465877197837103,0.2329385989185515,1,1,0.19840606720959342
lv_periodic,0.01,GPR,PE,x2(t),state,0.5,0.3955325518538144,0.20893489629237116,1,1,0.19840606720959342
lv_periodic,0.01,GPR,PE,a,parameter,1.5,1.2769533856425561,0.1486977429049626,1,1,0.19840606720959342
lv_periodic,0.01,GPR,PE,b,parameter,0.9,0.8184869631328363,0.09057004096351523,1,1,0.19840606720959342
lv_periodic,0.01,GPR,PE,c,parameter,3.0,3.4298307426537047,0.14327691421790156,1,1,0.19840606720959342
lv_periodic,0.01,GPR,PE,d,parameter,0.8,0.8508744218017548,0.0635930272521934,1,1,0.19840606720959342
lv_periodic,0.01,GPR,PE,x1(t),state,2.0,2.2374555363809936,0.1187277681904968,2,1,0.1993020575482367
lv_periodic,0.01,GPR,PE,x2(t),state,0.5,0.43943756522872923,0.12112486954254154,2,1,0.1993020575482367
lv_periodic,0.01,GPR,PE,a,parameter,1.5,1.4381641078097611,0.041223928126825925,2,1,0.1993020575482367
lv_periodic,0.01,GPR,PE,b,parameter,0.9,0.7285292362524202,0.1905230708306443,2,1,0.1993020575482367
lv_periodic,0.01,GPR,PE,c,parameter,3.0,3.0034269396762197,0.0011423132254065511,2,1,0.1993020575482367
lv_periodic,0.01,GPR,PE,d,parameter,0.8,0.8331029722272462,0.04137871528405765,2,1,0.1993020575482367
lv_periodic,0.01,GPR,PE,x1(t),state,2.0,2.7261206437334153,0.36306032186670767,3,1,0.21016208444070872
lv_periodic,0.01,GPR,PE,x2(t),state,0.5,0.3161845325404398,0.36763093491912036,3,1,0.21016208444070872
lv_periodic,0.01,GPR,PE,a,parameter,1.5,1.3528453152262896,0.0981031231824736,3,1,0.21016208444070872
lv_periodic,0.01,GPR,PE,b,parameter,0.9,0.8445776690200707,0.061580367755477025,3,1,0.21016208444070872
lv_periodic,0.01,GPR,PE,c,parameter,3.0,3.022823908310844,0.007607969436948044,3,1,0.21016208444070872
lv_periodic,0.01,GPR,PE,d,parameter,0.8,0.8081886125355503,0.010235765669437819,3,1,0.21016208444070872
lv_periodic,0.01,GPR,PE,x1(t),state,2.0,3.5968003181326993,0.7984001590663496,4,1,0.22210001326496717
lv_periodic,0.01,GPR,PE,x2(t),state,0.5,0.32130311471338063,0.35739377057323873,4,1,0.22210001326496717
lv_periodic,0.01,GPR,PE,a,parameter,1.5,1.458663475680431,0.02755768287971261,4,1,0.22210001326496717
lv_periodic,0.01,GPR,PE,b,parameter,0.9,0.8118507458235489,0.09794361575161238,4,1,0.22210001326496717
lv_periodic,0.01,GPR,PE,c,parameter,3.0,2.7191489137233513,0.09361702875888289,4,1,0.22210001326496717
lv_periodic,0.01,GPR,PE,d,parameter,0.8,0.6876546288968479,0.14043171387894016,4,1,0.22210001326496717
