method,noise_level,0,1,2,3,4,5,6
AAA_Julia,0.0,6.194265907490214e-07,2.1926133185881702e-05,0.0022378050103991805,0.5275691316218917,161.80655689130967,62275.46784877919,32500876.693732437
AAA_Julia,1e-06,0.00015087972179259163,0.00436463902628941,7.024690179064346,222354.4312915209,11427165336.410187,741911204335691.9,5.786761949380923e+19
AAA_Julia,0.001,0.14370121541963746,10.782725739255042,31586.44365980253,1268493696.7435114,81201923323153.61,6.639306853806842e+18,6.62261279909422e+23
AAA_lowpres_Julia,0.0,5.866441119047046e-14,2.8225878448914993e-12,4.826507062825545e-10,5.3649957985331276e-08,4.529359179255511e-06,0.0003152246683964799,0.02134100818968144
AAA_lowpres_Julia,1e-06,0.0001508797218405526,0.03424790053766334,12422.408841556924,18162282205.598045,3.549430346396746e+16,8.670844204257064e+22,inf
AAA_lowpres_Julia,0.001,0.14370121541964792,34.39128257708139,304704.28640430886,25812825821.562584,4614825844892831.0,1.061215921520645e+21,2.9343898682426233e+26
Butterworth_Python,0.0,0.808605855604991,1.083339599585654,3.1557554912863788,28.89725144790416,424.5261844037854,7435.98831215988,249339.2008183455
Butterworth_Python,1e-06,0.8086340748286539,1.0833510932283148,3.155761265275645,28.897253617579487,424.5261844037854,7435.98831215988,249339.2008183455
Butterworth_Python,0.001,0.8461318370387245,1.097930293454053,3.16263795843885,28.901033335397294,424.5261844037854,7435.98831215988,249339.2008183455
Chebyshev_Python,0.0,0.12053627748526409,0.5337707832667048,4.94100804530896,60.555575298936006,870.351289489237,11955.457442782075,322484.11312429555
Chebyshev_Python,1e-06,0.12057177433963574,0.5338603728240451,5.20428342424677,891.0388704852763,1812199.7999677446,2969117800.855105,3824695604767.1787
Chebyshev_Python,0.001,0.16438306710566128,0.6125233383988397,80.80647355593084,184750.75786970108,452510759.4815379,836342239721.5087,1165299423108757.8
FiniteDiff_Python,0.0,0.0,0.035615857266586254,0.8433671048837174,45.19437402627069,78637.3806850613,383359454.8835801,
FiniteDiff_Python,1e-06,0.0001321360229933687,0.0364601229643956,3.9811051555970107,18961.250198824502,117643385.96428576,740861142129.1444,
FiniteDiff_Python,0.001,0.12586231653660487,0.9212148002970135,3400.7846332330473,20256799.663753536,123124585573.22556,772438143312641.8,
GPR_Julia,0.0,0.0007762648804228485,0.017464296106287962,0.44416786321545604,9.435088617962013,294.4300697686555,12567.841901506705,1469004.1134450492
GPR_Julia,1e-06,0.0007875272827749652,0.017476223518982217,0.44458489189078887,9.454495770427773,279.1698304371572,6015.601766270069,230816.2255522734
